architecture,pool_max_size,runs,throughput_mean,throughput_ci95,p95_latency_mean,p95_latency_ci95,error_rate_mean,error_rate_ci95
Microservices,2,3,1382.1299999999999,24.684120476127998,402.0,3.92,0.0035,0.0065662437765691695
Microservices,5,3,1243.7633333333333,39.19066003175294,403.6666666666667,1.7285575232288657,0.0012666666666666666,0.002482666666666667
Microservices,10,3,1289.6166666666666,92.03797802829973,634.0,133.2848038349959,0.8231999999999999,0.8505636137746154
Monolith,2,3,2482.5866666666666,61.27347926156781,138.33333333333334,3.637606050382281,6.666666666666667e-05,0.00013066666666666668
Monolith,5,3,3514.1666666666665,112.28048612751512,137.66666666666666,13.594986003834078,0.0,0.0
Monolith,10,3,3518.9233333333336,123.18065956425316,197.33333333333334,3.457115046457732,0.0,0.0
