scenario,throughput_rps_monolith_mean,throughput_rps_microservices_mean,throughput_rps_delta_abs,throughput_rps_delta_pct_vs_monolith,p95_latency_ms_monolith_mean,p95_latency_ms_microservices_mean,p95_latency_ms_delta_abs,p95_latency_ms_delta_pct_vs_monolith,error_rate_pct_monolith_mean,error_rate_pct_microservices_mean,error_rate_pct_delta_abs,error_rate_pct_delta_pct_vs_monolith
baseline,3420.0733,1291.08,-2128.9933,-62.2499,199.0,493.6667,294.6667,148.0737,0.0,0.7691,0.7691,
fault_injection,3326.4033,1144.5967,-2181.8067,-65.5906,203.6667,732.3333,528.6667,259.5745,9.3272,10.7766,1.4495,15.5403
latency_injection,107.52,198.7367,91.2167,84.8369,3175.0,2450.85,-724.15,-22.8079,41.1817,47.4443,6.2625,15.2071
pool_exhaustion,3171.8922,1305.17,-1866.7222,-58.852,157.7778,479.8889,322.1111,204.1549,0.0,0.276,0.276,1241850.0
