architecture,pool_max_size,runs,throughput_mean,throughput_ci95,p95_latency_mean,p95_latency_ci95,error_rate_mean,error_rate_ci95
Microservices,2,3,1258.68,42.00634852019395,190.66666666666666,8.642787616144329,0.0,0.0
Microservices,5,3,1074.1200000000001,54.268115058967425,198.0,1.96,0.0016666666666666668,0.0032666666666666673
Microservices,10,3,952.8366666666667,56.899608315152506,195.66666666666666,1.7285575232288657,0.03626666666666667,0.028146158087936465
Monolith,2,3,2156.5766666666664,25.830639481394687,84.0,1.1316065276116665,0.0,0.0
Monolith,5,3,3503.5066666666667,88.30042573557866,68.66666666666667,0.6533333333333333,0.0,0.0
Monolith,10,3,3540.28,98.56581079650962,88.33333333333333,0.6533333333333333,0.0,0.0
